Village,Département,Région,Year,Placement,latitude,longitude
Maincy,Seine-et-Marne,Île-de-France,2013,22,48.5493671,2.6988855
Cordes-sur-Ciel,Tarn,Midi-Pyrénées,2014,1,44.0626,1.95799
Andlau,Bas-Rhin,Alsace,2014,2,48.3865215,7.4177354
Chambon-sur-Voueize,Creuse,Limousin,2014,3,46.1886294,2.425828
Sauzon,Morbihan,Bretagne,2014,4,47.3711688,-3.221511
Antraigues-sur-Volane,Ardèche,Rhône-Alpes,2014,5,44.7450302,4.3537837
Étretat,Seine-Maritime,Haute-Normandie,2014,6,49.7074621,0.2031905
Noyers,Yonne,Bourgogne,2014,7,47.6957055,3.9955476
Vouvant,Vendée,Pays de la Loire,2014,8,46.5720909,-0.7698865
Gourdon,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,2014,9,43.7195336,6.9787811
Beuvron-en-Auge,Calvados,Basse-Normandie,2014,10,49.1878748,-0.0460321
Château-Chalon,Jura,Franche-Comté,2014,11,46.7547194,5.6269716
Charroux,Allier,Auvergne,2014,12,46.1846945,3.1602582
Sebourg,Nord,Nord-Pas-de-Calais,2014,13,50.3424013,3.6459328
Septmonts,Aisne,Picardie,2014,14,49.3344444,3.3577778
Saint-Benoît-du-Sault,Indre,Centre,2014,15,46.4404615,1.3903004
Labastide-d'Armagnac,Landes,Aquitaine,2014,16,43.9696038,-0.1855262
Châteauvillain,Haute-Marne,Champagne-Ardenne,2014,17,48.036222,4.9175196
Sainte-Enimie,Lozère,Languedoc-Roussillon,2014,18,44.3661054,3.4104994
Arçais,Deux-Sèvres,Poitou-Charentes,2014,19,46.2966361,-0.6915028
Grez-sur-Loing,Seine-et-Marne,Île-de-France,2014,20,48.3174256,2.6885676
Pigna,Haute-Corse,Corse,2014,21,42.5989942,8.9029386
Marville,Meuse,Lorraine,2014,22,49.4547462,5.4592206
Ploumanac'h,Côtes-d'Armor,Bretagne,2015,1,48.8317817,-3.4844446
Montrésor,Indre-et-Loire,Centre-Val de Loire,2015,2,47.1566605,1.2016534
Saint-Antonin-Noble-Val,Tarn-et-Garonne,Midi-Pyrénées,2015,3,44.1527778,1.7558333
Barbizon,Seine-et-Marne,Île-de-France,2015,4,48.4447386,2.6064391
Terdeghem,Nord,Nord-Pas-de-Calais,2015,5,50.7987498,2.5401843
Bonneval-sur-Arc,Savoie,Rhône-Alpes,2015,6,45.3716864,7.0467945
Castelnou,Pyrénées-Orientales,Languedoc-Roussillon,2015,7,42.6195205,2.7031011
Ferrette,Haut-Rhin,Alsace,2015,8,47.4944546,7.3141424
Ault,Somme,Picardie,2015,9,50.1015635,1.4473006
Moutier-d'Ahun,Creuse,Limousin,2015,10,46.0913154,2.0546763
Saint-Émilion,Gironde,Aquitaine,2015,11,44.8931452,-0.1560662
Ars-en-Ré,Charente-Maritime,Poitou-Charentes,2015,12,46.208056,-1.515833
Tourtour,Var,Provence-Alpes-Côte d'Azur,2015,13,43.5893631,6.3021924
Solutré-Pouilly,Saône-et-Loire,Bourgogne,2015,14,46.2968704,4.7246736
Saint-Céneri-le-Gérei,Orne,Basse-Normandie,2015,15,48.3797405,-0.0526202
Trentemoult,Loire-Atlantique,Pays de la Loire,2015,16,47.1943161,-1.5823485
Saint-Nectaire,Puy-de-Dôme,Auvergne,2015,17,45.5885273,2.9924563
Fénétrange,Moselle,Lorraine,2015,18,48.8483309,7.0196953
Lyons-la-Forêt,Eure,Haute-Normandie,2015,19,49.3989972,1.4768236
Lods,Doubs,Franche-Comté,2015,20,47.045525,6.2478258
Mussy-sur-Seine,Aube,Champagne-Ardenne,2015,21,47.9775941,4.4975367
Centuri,Haute-Corse,Corse,2015,22,42.9605846,9.3682432
Rochefort-en-Terre,Morbihan,Bretagne,2016,1,47.6990598,-2.3372563
Montreuil-sur-Mer,Pas-de-Calais,Hauts-de-France,2016,2,50.4638918,1.7631125
Rocamadour,Lot,Occitanie,2016,3,44.7995467,1.6181714
Arbois,Jura,Bourgogne-Franche-Comté,2016,4,46.9032246,5.7727504
Vogüé,Ardèche,Auvergne-Rhône-Alpes,2016,5,44.5497298,4.4156504
Nonza,Haute-Corse,Corse,2016,6,42.7844061,9.3445863
Gordes,Vaucluse,Provence-Alpes-Côte d'Azur,2016,7,43.9110641,5.2002043
Varengeville-sur-Mer,Seine-Maritime,Normandie,2016,8,49.9046335,1.0021825
Béhuard,Maine-et-Loire,Pays de la Loire,2016,9,47.3792709,-0.6440124
Sare,Pyrénées-Atlantiques,Nouvelle-Aquitaine,2016,10,43.3129609,-1.5793011
Plombières-les-Bains,Vosges,Grand Est,2016,11,47.9641254,6.4564439
Candes-Saint-Martin,Indre-et-Loire,Centre-Val de Loire,2016,12,47.2108623,0.0743907
Courances,Essonne,Île-de-France,2016,13,48.4401438,2.47554
Kaysersberg,Haut-Rhin,Grand Est,2017,1,48.1571873,7.241094
Saint-Valery-sur-Somme,Somme,Hauts-de-France,2017,2,50.1887006,1.6279147
La Roque-Gageac,Dordogne,Nouvelle-Aquitaine,2017,3,44.8255441,1.1834985
Moncontour,Côtes-d'Armor,Bretagne,2017,4,48.3594234,-2.6336911
